Make,Model,Type,Min Price,Mid Price,Max Price,MPG City,MPG Highway,Air Bags,Drive Train,Cylinders,Engine Size,Horsepower,RPM,Revs per Mile,Manual,Fueltank,Passengers,Length,Wheelbase,Width,U Turn Space,Rear Seat,Luggage,Weight,Domestic
acura,integra,small,129,159,188,25,31,0,front,4,18,140,6300,2890,1,132,5,177,102,68,37,265,11,2705,0
acura,legend,midsize,292,339,387,18,25,2,front,6,32,200,5500,2335,1,18,5,195,115,71,38,30,15,3560,0
audi,90,compact,259,291,323,20,26,1,front,6,28,172,5500,2280,1,169,5,180,102,67,37,28,14,3375,0
audi,100,midsize,308,377,446,19,26,2,front,6,28,172,5500,2535,1,211,6,193,106,70,37,31,17,3405,0
bmw,535i,midsize,237,30,362,22,30,1,rear,4,35,208,5700,2545,1,211,4,186,109,69,39,27,13,3640,0
buick,century,midsize,142,157,173,22,31,1,front,4,22,110,5200,2565,0,164,6,189,105,69,41,28,16,2880,1
buick,lesabre,large,199,208,217,19,28,1,front,6,38,170,4800,1570,0,18,6,200,111,74,42,305,17,3470,1
buick,roadmaster,large,226,237,249,16,25,1,rear,6,57,180,4000,1320,0,23,6,216,116,78,45,305,21,4105,1
buick,riviera,midsize,263,263,263,19,27,1,front,6,38,170,4800,1690,0,188,5,198,108,73,41,265,14,3495,1
cadillac,deville,large,33,347,363,16,25,1,front,8,49,200,4100,1510,0,18,6,206,114,73,43,35,18,3620,1
cadillac,seville,midsize,375,401,427,16,25,2,front,8,46,295,6000,1985,0,20,5,204,111,74,44,31,14,3935,1
chevrolet,cavalier,compact,85,134,183,25,36,0,front,4,22,110,5200,2380,1,152,5,182,101,66,38,25,13,2490,1
chevrolet,corsica,compact,114,114,114,25,34,1,front,4,22,110,5200,2665,1,156,5,184,103,68,39,26,14,2785,1
chevrolet,camaro,sporty,134,151,168,19,28,2,rear,6,34,160,4600,1805,1,155,4,193,101,74,43,25,13,3240,1
chevrolet,lumina,midsize,134,159,184,21,29,0,front,4,22,110,5200,2595,0,165,6,198,108,71,40,285,16,3195,1
chevrolet,lumina apv,van,147,163,18,18,23,0,front,6,38,170,4800,1690,0,20,7,178,110,74,44,305, ,3715,1
chevrolet,astro,van,147,166,186,15,20,0,all,6,43,165,4000,1790,0,27,8,194,111,78,42,335, ,4025,1
chevrolet,caprice,large,18,188,196,17,26,1,rear,8,5,170,4200,1350,0,23,6,214,116,77,42,295,20,3910,1
chevrolet,corvette,sporty,346,38,415,17,25,1,rear,8,57,300,5000,1450,1,20,2,179,96,74,43, , ,3380,1
chrysler,concorde,large,184,184,184,20,28,2,front,6,33,153,5300,1990,0,18,6,203,113,74,40,31,15,3515,1
chrysler,lebaron,compact,145,158,171,23,28,2,front,4,3,141,5000,2090,0,16,6,183,104,68,41,305,14,3085,1
chrysler,imperial,large,295,295,295,20,26,1,front,6,33,147,4800,1785,0,16,6,203,110,69,44,36,17,3570,1
dodge,colt,small,79,92,106,29,33,0,front,4,15,92,6000,3285,1,132,5,174,98,66,32,265,11,2270,1
dodge,shadow,small,84,113,142,23,29,1,front,4,22,93,4800,2595,1,14,5,172,97,67,38,265,13,2670,1
dodge,spirit,compact,119,133,147,22,27,1,front,4,25,100,4800,2535,1,16,6,181,104,68,39,305,14,2970,1